# log10(N)                     cPower                            slowPower                       fastPower                   veryfast Power 
                    1   2.90999999999999998478e-07   4.19999999999999988935e-08    4.19999999999999988935e-08   8.39999999999999977870e-08 
                    2   4.19999999999999988935e-08   4.99999999999999977374e-07    8.30000000000000020674e-08   8.30000000000000020674e-08 
                    3   4.19999999999999988935e-08   4.04199999999999958628e-06    8.30000000000000020674e-08   4.19999999999999988935e-08 
                    4   4.19999999999999988935e-08   4.01249999999999995342e-05    1.66999999999999999854e-07   4.19999999999999988935e-08 
                    5   4.19999999999999988935e-08   3.99208999999999978800e-04    1.24999999999999994344e-07   8.39999999999999977870e-08 
                    6   1.24999999999999994344e-07   4.04250000000000008632e-03    1.24999999999999994344e-07   1.24999999999999994344e-07 
                    7   3.33999999999999999709e-07   3.81872919999999976826e-02    1.66999999999999999854e-07   1.66000000000000004135e-07 
                    8   3.75000000000000009500e-07   3.46376457999999998183e-01    2.49999999999999988687e-07   1.66999999999999999854e-07 
                    9   3.75000000000000009500e-07   3.56536012500000021319e+00    2.08000000000000009646e-07   1.66000000000000004135e-07 

